mol_id_A,core,chains_A,mol_id_B,chains_B
11,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Cc1ccc(O)cc1[*:2],8,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
11,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Cc1ccc(O)cc1[*:2],5,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1]
11,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Cc1ccc(O)cc1[*:2],12,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1]
11,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Cc1ccc(O)cc1[*:2],4,CO[*:1].Cc1ccc(O)cc1[*:2]
11,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Cc1ccc(O)cc1[*:2],3,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1]
11,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Cc1ccc(O)cc1[*:2],2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
11,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Cc1ccc(O)cc1[*:2],1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],9,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],8,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],5,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1]
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],12,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1]
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],4,CO[*:1].Cc1ccc(O)cc1[*:2]
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],3,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1]
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
10,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1cc2[nH]nnc2cc1[*:2],1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
9,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1,8,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
9,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1,5,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1]
9,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1,12,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1]
9,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1,4,CO[*:1].Cc1ccc(O)cc1[*:2]
9,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1,3,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1]
9,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1,2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
9,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].c1nc2cc([*:2])ccc2s1,1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
8,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,5,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1]
8,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,12,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1]
8,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,4,CO[*:1].Cc1ccc(O)cc1[*:2]
8,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,3,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1]
8,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
8,c1cc(N[*:2])c2cc([*:1])ccc2n1,CS(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
5,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1],12,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1]
5,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1],4,CO[*:1].Cc1ccc(O)cc1[*:2]
5,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1],3,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1]
5,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1],2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
5,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCOCC1)[*:1],1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
12,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1],4,CO[*:1].Cc1ccc(O)cc1[*:2]
12,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1],3,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1]
12,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1],2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
12,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].O=C(NCC1CCCOC1)[*:1],1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
4,c1cc(N[*:2])c2cc([*:1])ccc2n1,CO[*:1].Cc1ccc(O)cc1[*:2],3,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1]
4,c1cc(N[*:2])c2cc([*:1])ccc2n1,CO[*:1].Cc1ccc(O)cc1[*:2],2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
4,c1cc(N[*:2])c2cc([*:1])ccc2n1,CO[*:1].Cc1ccc(O)cc1[*:2],1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
3,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1],2,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
3,c1cc(N[*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1[*:2].FC(F)(F)[*:1],1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
2,c1cc(N[*:2])c2cc([*:1])ccc2n1,CC(C)S(=O)(=O)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,1,CC(C)(C)S(=O)(=O)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
11,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1[*:2],10,C[*:1].c1cc2[nH]nnc2cc1[*:2]
11,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1[*:2],9,C[*:1].c1nc2cc([*:2])ccc2s1
11,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1[*:2],8,C[*:1].Fc1ccc2[nH]nc([*:2])c2c1
11,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1[*:2],2,CC(C)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
11,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1[*:2],1,CC(C)(C)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
10,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1[*:2],9,C[*:1].c1nc2cc([*:2])ccc2s1
10,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1[*:2],8,C[*:1].Fc1ccc2[nH]nc([*:2])c2c1
10,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1[*:2],2,CC(C)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
10,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1[*:2],1,CC(C)(C)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
9,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].c1nc2cc([*:2])ccc2s1,8,C[*:1].Fc1ccc2[nH]nc([*:2])c2c1
9,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].c1nc2cc([*:2])ccc2s1,2,CC(C)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
9,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].c1nc2cc([*:2])ccc2s1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
8,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].Fc1ccc2[nH]nc([*:2])c2c1,2,CC(C)[*:1].Fc1ccc2[nH]nc([*:2])c2c1
8,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],C[*:1].Fc1ccc2[nH]nc([*:2])c2c1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
2,O=S(=O)(c1ccc2nccc(N[*:2])c2c1)[*:1],CC(C)[*:1].Fc1ccc2[nH]nc([*:2])c2c1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c([*:2])c2c1
11,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Cc1ccc(O)cc1N[*:1],10,CS(=O)(=O)[*:2].c1cc2[nH]nnc2cc1N[*:1]
11,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Cc1ccc(O)cc1N[*:1],9,CS(=O)(=O)[*:2].c1nc2cc(N[*:1])ccc2s1
11,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Cc1ccc(O)cc1N[*:1],8,CS(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
11,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Cc1ccc(O)cc1N[*:1],6,Cc1ccc(O)cc1N[*:1].c1cncc([*:2])c1
11,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Cc1ccc(O)cc1N[*:1],4,CO[*:2].Cc1ccc(O)cc1N[*:1]
11,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Cc1ccc(O)cc1N[*:1],2,CC(C)S(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
11,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Cc1ccc(O)cc1N[*:1],1,CC(C)(C)S(=O)(=O)[*:2].Fc1ccc2n[nH]c(N[*:1])c2c1
10,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1cc2[nH]nnc2cc1N[*:1],9,CS(=O)(=O)[*:2].c1nc2cc(N[*:1])ccc2s1
10,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1cc2[nH]nnc2cc1N[*:1],8,CS(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
10,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1cc2[nH]nnc2cc1N[*:1],6,Cc1ccc(O)cc1N[*:1].c1cncc([*:2])c1
10,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1cc2[nH]nnc2cc1N[*:1],4,CO[*:2].Cc1ccc(O)cc1N[*:1]
10,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1cc2[nH]nnc2cc1N[*:1],2,CC(C)S(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
10,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1cc2[nH]nnc2cc1N[*:1],1,CC(C)(C)S(=O)(=O)[*:2].Fc1ccc2n[nH]c(N[*:1])c2c1
9,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1nc2cc(N[*:1])ccc2s1,8,CS(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
9,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1nc2cc(N[*:1])ccc2s1,6,Cc1ccc(O)cc1N[*:1].c1cncc([*:2])c1
9,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1nc2cc(N[*:1])ccc2s1,4,CO[*:2].Cc1ccc(O)cc1N[*:1]
9,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1nc2cc(N[*:1])ccc2s1,2,CC(C)S(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
9,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].c1nc2cc(N[*:1])ccc2s1,1,CC(C)(C)S(=O)(=O)[*:2].Fc1ccc2n[nH]c(N[*:1])c2c1
8,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1,6,Cc1ccc(O)cc1N[*:1].c1cncc([*:2])c1
8,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1,4,CO[*:2].Cc1ccc(O)cc1N[*:1]
8,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1,2,CC(C)S(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
8,c1cc([*:1])c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1,1,CC(C)(C)S(=O)(=O)[*:2].Fc1ccc2n[nH]c(N[*:1])c2c1
6,c1cc([*:1])c2cc([*:2])ccc2n1,Cc1ccc(O)cc1N[*:1].c1cncc([*:2])c1,4,CO[*:2].Cc1ccc(O)cc1N[*:1]
6,c1cc([*:1])c2cc([*:2])ccc2n1,Cc1ccc(O)cc1N[*:1].c1cncc([*:2])c1,2,CC(C)S(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
6,c1cc([*:1])c2cc([*:2])ccc2n1,Cc1ccc(O)cc1N[*:1].c1cncc([*:2])c1,1,CC(C)(C)S(=O)(=O)[*:2].Fc1ccc2n[nH]c(N[*:1])c2c1
4,c1cc([*:1])c2cc([*:2])ccc2n1,CO[*:2].Cc1ccc(O)cc1N[*:1],2,CC(C)S(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1
4,c1cc([*:1])c2cc([*:2])ccc2n1,CO[*:2].Cc1ccc(O)cc1N[*:1],1,CC(C)(C)S(=O)(=O)[*:2].Fc1ccc2n[nH]c(N[*:1])c2c1
2,c1cc([*:1])c2cc([*:2])ccc2n1,CC(C)S(=O)(=O)[*:2].Fc1ccc2[nH]nc(N[*:1])c2c1,1,CC(C)(C)S(=O)(=O)[*:2].Fc1ccc2n[nH]c(N[*:1])c2c1
11,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1N[*:2],10,C[*:1].c1cc2[nH]nnc2cc1N[*:2]
11,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1N[*:2],9,C[*:1].c1nc2cc(N[*:2])ccc2s1
11,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1N[*:2],8,C[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1
11,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1N[*:2],2,CC(C)[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1
11,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].Cc1ccc(O)cc1N[*:2],1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(N[*:2])c2c1
10,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1N[*:2],9,C[*:1].c1nc2cc(N[*:2])ccc2s1
10,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1N[*:2],8,C[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1
10,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1N[*:2],2,CC(C)[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1
10,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].c1cc2[nH]nnc2cc1N[*:2],1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(N[*:2])c2c1
9,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].c1nc2cc(N[*:2])ccc2s1,8,C[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1
9,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].c1nc2cc(N[*:2])ccc2s1,2,CC(C)[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1
9,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].c1nc2cc(N[*:2])ccc2s1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(N[*:2])c2c1
8,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1,2,CC(C)[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1
8,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],C[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(N[*:2])c2c1
2,O=S(=O)(c1ccc2nccc([*:2])c2c1)[*:1],CC(C)[*:1].Fc1ccc2[nH]nc(N[*:2])c2c1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(N[*:2])c2c1
11,O=S(=O)([*:1])[*:2],C[*:1].Cc1ccc(O)cc1Nc1ccnc2ccc([*:2])cc12,10,C[*:1].c1cc(Nc2ccc3[nH]nnc3c2)c2cc([*:2])ccc2n1
11,O=S(=O)([*:1])[*:2],C[*:1].Cc1ccc(O)cc1Nc1ccnc2ccc([*:2])cc12,9,C[*:1].c1cc(Nc2ccc3scnc3c2)c2cc([*:2])ccc2n1
11,O=S(=O)([*:1])[*:2],C[*:1].Cc1ccc(O)cc1Nc1ccnc2ccc([*:2])cc12,8,C[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1
11,O=S(=O)([*:1])[*:2],C[*:1].Cc1ccc(O)cc1Nc1ccnc2ccc([*:2])cc12,2,CC(C)[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1
11,O=S(=O)([*:1])[*:2],C[*:1].Cc1ccc(O)cc1Nc1ccnc2ccc([*:2])cc12,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(Nc3ccnc4ccc([*:2])cc34)c2c1
10,O=S(=O)([*:1])[*:2],C[*:1].c1cc(Nc2ccc3[nH]nnc3c2)c2cc([*:2])ccc2n1,9,C[*:1].c1cc(Nc2ccc3scnc3c2)c2cc([*:2])ccc2n1
10,O=S(=O)([*:1])[*:2],C[*:1].c1cc(Nc2ccc3[nH]nnc3c2)c2cc([*:2])ccc2n1,8,C[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1
10,O=S(=O)([*:1])[*:2],C[*:1].c1cc(Nc2ccc3[nH]nnc3c2)c2cc([*:2])ccc2n1,2,CC(C)[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1
10,O=S(=O)([*:1])[*:2],C[*:1].c1cc(Nc2ccc3[nH]nnc3c2)c2cc([*:2])ccc2n1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(Nc3ccnc4ccc([*:2])cc34)c2c1
9,O=S(=O)([*:1])[*:2],C[*:1].c1cc(Nc2ccc3scnc3c2)c2cc([*:2])ccc2n1,8,C[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1
9,O=S(=O)([*:1])[*:2],C[*:1].c1cc(Nc2ccc3scnc3c2)c2cc([*:2])ccc2n1,2,CC(C)[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1
9,O=S(=O)([*:1])[*:2],C[*:1].c1cc(Nc2ccc3scnc3c2)c2cc([*:2])ccc2n1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(Nc3ccnc4ccc([*:2])cc34)c2c1
8,O=S(=O)([*:1])[*:2],C[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1,2,CC(C)[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1
8,O=S(=O)([*:1])[*:2],C[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(Nc3ccnc4ccc([*:2])cc34)c2c1
2,O=S(=O)([*:1])[*:2],CC(C)[*:1].Fc1ccc2[nH]nc(Nc3ccnc4ccc([*:2])cc34)c2c1,1,CC(C)(C)[*:1].Fc1ccc2n[nH]c(Nc3ccnc4ccc([*:2])cc34)c2c1
8,O=S(=O)(c1ccc2nccc(Nc3n[nH]c4ccc([*:2])cc34)c2c1)[*:1],C[*:1].F[*:2],2,CC(C)[*:1].F[*:2]
8,c1cc(Nc2n[nH]c3ccc([*:1])cc23)c2cc([*:2])ccc2n1,CS(=O)(=O)[*:2].F[*:1],2,CC(C)S(=O)(=O)[*:2].F[*:1]
8,c1cc2[nH]nc(N[*:2])c2cc1[*:1],CS(=O)(=O)c1ccc2nccc([*:2])c2c1.F[*:1],2,CC(C)S(=O)(=O)c1ccc2nccc([*:2])c2c1.F[*:1]
8,c1cc2[nH]nc([*:2])c2cc1[*:1],CS(=O)(=O)c1ccc2nccc(N[*:2])c2c1.F[*:1],2,CC(C)S(=O)(=O)c1ccc2nccc(N[*:2])c2c1.F[*:1]
5,c1cc(Nc2cc([*:3])ccc2[*:1])c2cc([*:2])ccc2n1,C[*:1].O=C(NCC1CCOCC1)[*:2].O[*:3],12,C[*:1].O=C(NCC1CCCOC1)[*:2].O[*:3]
5,c1cc(Nc2cc([*:3])ccc2[*:1])c2cc([*:2])ccc2n1,C[*:1].O=C(NCC1CCOCC1)[*:2].O[*:3],3,C[*:1].FC(F)(F)[*:2].O[*:3]
12,c1cc(Nc2cc([*:3])ccc2[*:1])c2cc([*:2])ccc2n1,C[*:1].O=C(NCC1CCCOC1)[*:2].O[*:3],3,C[*:1].FC(F)(F)[*:2].O[*:3]
5,O=C(N[*:2])c1ccc2nccc(Nc3cc([*:3])ccc3[*:1])c2c1,C1CC(C[*:2])CCO1.C[*:1].O[*:3],12,C1COCC(C[*:2])C1.C[*:1].O[*:3]
5,O=C(NC[*:2])c1ccc2nccc(Nc3cc([*:3])ccc3[*:1])c2c1,C1CC([*:2])CCO1.C[*:1].O[*:3],12,C1COCC([*:2])C1.C[*:1].O[*:3]
5,O=C(N[*:2])c1ccc2nccc(Nc3cc(O)ccc3[*:1])c2c1,C1CC(C[*:2])CCO1.C[*:1],12,C1COCC(C[*:2])C1.C[*:1]
5,O=C(NC[*:2])c1ccc2nccc(Nc3cc(O)ccc3[*:1])c2c1,C1CC([*:2])CCO1.C[*:1],12,C1COCC([*:2])C1.C[*:1]
5,Cc1ccc([*:2])cc1Nc1ccnc2ccc([*:1])cc12,O=C(NCC1CCOCC1)[*:1].O[*:2],12,O=C(NCC1CCCOC1)[*:1].O[*:2]
5,Cc1ccc([*:2])cc1Nc1ccnc2ccc([*:1])cc12,O=C(NCC1CCOCC1)[*:1].O[*:2],3,FC(F)(F)[*:1].O[*:2]
12,Cc1ccc([*:2])cc1Nc1ccnc2ccc([*:1])cc12,O=C(NCC1CCCOC1)[*:1].O[*:2],3,FC(F)(F)[*:1].O[*:2]
5,Cc1ccc([*:2])cc1Nc1ccnc2ccc(C(=O)N[*:1])cc12,C1CC(C[*:1])CCO1.O[*:2],12,C1COCC(C[*:1])C1.O[*:2]
5,Cc1ccc([*:2])cc1Nc1ccnc2ccc(C(=O)NC[*:1])cc12,C1CC([*:1])CCO1.O[*:2],12,C1COCC([*:1])C1.O[*:2]
5,O=C(N[*:1])c1ccc2nccc(N[*:2])c2c1,C1CC(C[*:1])CCO1.Cc1ccc(O)cc1[*:2],12,C1COCC(C[*:1])C1.Cc1ccc(O)cc1[*:2]
5,O=C(NC[*:1])c1ccc2nccc(N[*:2])c2c1,C1CC([*:1])CCO1.Cc1ccc(O)cc1[*:2],12,C1COCC([*:1])C1.Cc1ccc(O)cc1[*:2]
5,c1cc([*:2])c2cc([*:1])ccc2n1,Cc1ccc(O)cc1N[*:2].O=C(NCC1CCOCC1)[*:1],12,Cc1ccc(O)cc1N[*:2].O=C(NCC1CCCOC1)[*:1]
